Survived,Pclass,Sex,Embarked,HasCabin,FamilySize,IsAlone,CatAge,CatFare,Title
0,3,male,S,0,2,0,"(16.336, 32.252]","(-0.512, 128.082]",Mr
1,1,female,C,1,2,0,"(32.252, 48.168]","(-0.512, 128.082]",Mrs
1,3,female,S,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Miss
1,1,female,S,1,2,0,"(32.252, 48.168]","(-0.512, 128.082]",Mrs
0,3,male,S,0,1,1,"(32.252, 48.168]","(-0.512, 128.082]",Mr
0,3,male,Q,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mr
0,1,male,S,1,1,1,"(48.168, 64.084]","(-0.512, 128.082]",Mr
0,3,male,S,0,5,0,"(0.34, 16.336]","(-0.512, 128.082]",Master
1,3,female,S,0,3,0,"(16.336, 32.252]","(-0.512, 128.082]",Mrs
1,2,female,C,0,2,0,"(0.34, 16.336]","(-0.512, 128.082]",Mrs
1,3,female,S,1,3,0,"(0.34, 16.336]","(-0.512, 128.082]",Miss
1,1,female,S,1,1,1,"(48.168, 64.084]","(-0.512, 128.082]",Miss
0,3,male,S,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mr
0,3,male,S,0,7,0,"(32.252, 48.168]","(-0.512, 128.082]",Mr
0,3,female,S,0,1,1,"(0.34, 16.336]","(-0.512, 128.082]",Miss
1,2,female,S,0,1,1,"(48.168, 64.084]","(-0.512, 128.082]",Mrs
0,3,male,Q,0,6,0,"(0.34, 16.336]","(-0.512, 128.082]",Master
1,2,male,S,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mr
0,3,female,S,0,2,0,"(16.336, 32.252]","(-0.512, 128.082]",Mrs
1,3,female,C,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mrs
0,2,male,S,0,1,1,"(32.252, 48.168]","(-0.512, 128.082]",Mr
1,2,male,S,1,1,1,"(32.252, 48.168]","(-0.512, 128.082]",Mr
1,3,female,Q,0,1,1,"(0.34, 16.336]","(-0.512, 128.082]",Miss
1,1,male,S,1,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mr
0,3,female,S,0,5,0,"(0.34, 16.336]","(-0.512, 128.082]",Miss
1,3,female,S,0,7,0,"(32.252, 48.168]","(-0.512, 128.082]",Mrs
0,3,male,C,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mr
0,1,male,S,1,6,0,"(16.336, 32.252]","(256.165, 384.247]",Mr
1,3,female,Q,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Miss
0,3,male,S,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mr
0,1,male,C,0,1,1,"(32.252, 48.168]","(-0.512, 128.082]",Rare
1,1,female,C,1,2,0,"(16.336, 32.252]","(128.082, 256.165]",Mrs
1,3,female,Q,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Miss
0,2,male,S,0,1,1,"(64.084, 80.0]","(-0.512, 128.082]",Mr
0,1,male,C,0,2,0,"(16.336, 32.252]","(-0.512, 128.082]",Mr
0,1,male,S,0,2,0,"(32.252, 48.168]","(-0.512, 128.082]",Mr
1,3,male,C,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mr
0,3,male,S,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mr
0,3,female,S,0,3,0,"(16.336, 32.252]","(-0.512, 128.082]",Miss
1,3,female,C,0,2,0,"(0.34, 16.336]","(-0.512, 128.082]",Miss
0,3,female,S,0,2,0,"(32.252, 48.168]","(-0.512, 128.082]",Mrs
0,2,female,S,0,2,0,"(16.336, 32.252]","(-0.512, 128.082]",Mrs
0,3,male,C,0,1,1,"(16.336, 32.252]","(-0.512, 128.082]",Mr
